Infinitive verb,English translation,Pronunciation,Pronouns,Present Simple Tense,Past Preterite Tense,Past Imperfect Tense,Conditional Tense,Future Simple Tense
,,,ellos/ellas/ustedes,cuelgan,colgaron,colgaban,colgarían,colgarán
combinar,to combine,kohm - bee - nahr,yo,combino,combiné,combinaba,combinaría,combinaré
,,,tú,combinas,combinaste,combinabas,combinarías,combinarás
,,,él/ella/usted,combina,combinó,combinaba,combinaría,combinará
,,,nosotros,combinamos,combinamos,combinábamos,combinaríamos,combinaremos
,,,vosotros,combináis,combinasteis,combinabais,combinaríais,combinaréis
,,,ellos/ellas/ustedes,combinan,combinaron,combinaban,combinarían,combinarán
comenzar,to start,koh - mehn - thahr,yo,comienzo,comencé,comenzaba,comenzaría,comenzaré
,,,tú,comienzas,comenzaste,comenzabas,comenzarías,comenzarás
,,,él/ella/usted,comienza,comenzó,comenzaba,comenzaría,comenzará
,,,nosotros,comenzamos,comenzamos,comenzábamos,comenzaríamos,comenzaremos
,,,vosotros,comenzáis,comenzasteis,comenzabais,comenzaríais,comenzaréis
,,,ellos/ellas/ustedes,comienzan,comenzaron,comenzaban,comenzarían,comenzarán
comer,to eat,koh - mehr,yo,como,comí,comía,comería,comeré
,,,tú,comes,comiste,comías,comerías,comerás
,,,él/ella/usted,come,comió,comía,comería,comerá
,,,nosotros,comemos,comimos,comíamos,comeríamos,comeremos
,,,vosotros,coméis,comisteis,comíais,comeríais,comeréis
,,,ellos/ellas/ustedes,comen,comieron,comían,comerían,comerán
comparar,to compare,kohm - pah - rahr,yo,comparo,comparé,comparaba,compararía,compararé
,,,tú,comparas,comparaste,comparabas,compararías,compararás
,,,él/ella/usted,compara,comparó,comparaba,compararía,comparará
,,,nosotros,comparamos,comparamos,comparábamos,compararíamos,compararemos
,,,vosotros,comparáis,comparasteis,comparabais,compararíais,compararéis
,,,ellos/ellas/ustedes,comparan,compararon,comparaban,compararían,compararán
compartir,to share,kohm - pahr - teer,yo,comparto,compartí,compartía,compartiría,compartiré
,,,tú,compartes,compartiste,compartías,compartirías,compartirás
,,,él/ella/usted,comparte,compartió,compartía,compartiría,compartirá
,,,nosotros,compartimos,compartimos,compartíamos,compartiríamos,compartiremos
,,,vosotros,compartís,compartisteis,compartíais,compartiríais,compartiréis
,,,ellos/ellas/ustedes,comparten,compartieron,compartían,compartirían,compartirán
comprar,to buy,kohm - prahr,yo,compro,compré,compraba,compraría,compraré
,,,tú,compras,compraste,comprabas,comprarías,comprarás
,,,él/ella/usted,compra,compró,compraba,compraría,comprará
,,,nosotros,compramos,compramos,comprábamos,compraríamos,compraremos
,,,vosotros,compráis,comprasteis,comprabais,compraríais,compraréis
,,,ellos/ellas/ustedes,compran,compraron,compraban,comprarían,comprarán
comunicar,to communicate,koh - moo - nee - kahr,yo,comunico,comuniqué,comunicaba,comunicaría,comunicaré
,,,tú,comunicas,comunicaste,comunicabas,comunicarías,comunicarás
,,,él/ella/usted,comunica,comunicó,comunicaba,comunicaría,comunicará
,,,nosotros,comunicamos,comunicamos,comunicábamos,comunicaríamos,comunicaremos
,,,vosotros,comunicáis,comunicasteis,comunicabais,comunicaríais,comunicaréis
,,,ellos/ellas/ustedes,comunican,comunicaron,comunicaban,comunicarían,comunicarán
conducir,to drive,kohn - doo - theer,yo,conduzco,conduje,conducía,conduciría,conduciré
,,,tú,conduces,condujiste,conducías,conducirías,conducirás
,,,él/ella/usted,conduce,condujo,conducía,conduciría,conducirá
,,,nosotros,conducimos,condujimos,conducíamos,conduciríamos,conduciremos
,,,vosotros,conducís,condujisteis,conducíais,conduciríais,conduciréis
,,,ellos/ellas/ustedes,conducen,condujeron,conducían,conducirían,conducirán
confiar,to trust,kohm - fyahr,yo,confío,confié,confiaba,confiaría,confiaré
,,,tú,confías,confiaste,confiabas,confiarías,confiarás
,,,él/ella/usted,confía,confió,confiaba,confiaría,confiará
,,,nosotros,confiamos,confiamos,confiábamos,confiaríamos,confiaremos
,,,vosotros,confiáis,confiasteis,confiabais,confiaríais,confiaréis
,,,ellos/ellas/ustedes,confían,confiaron,confiaban,confiarían,confiarán
conocer,to know (people and places),koh - noh - thehr,yo,conozco,conocí,conocía,conocería,conoceré
,,,tú,conoces,conociste,conocías,conocerías,conocerás
,,,él/ella/usted,conoce,conoció,conocía,conocería,conocerá
,,,nosotros,conocemos,conocimos,conocíamos,conoceríamos,conoceremos
,,,vosotros,conocéis,conocisteis,conocíais,conoceríais,conoceréis
,,,ellos/ellas/ustedes,conocen,conocieron,conocían,conocerían,conocerán
conseguir,to get,kohn - seh - geer,yo,consigo,conseguí,conseguía,conseguiría,conseguiré
,,,tú,consigues,conseguiste,conseguías,conseguirías,conseguirás
,,,él/ella/usted,consigue,consiguió,conseguía,conseguiría,conseguirá
,,,nosotros,conseguimos,conseguimos,conseguíamos,conseguiríamos,conseguiremos
,,,vosotros,conseguís,conseguisteis,conseguíais,conseguiríais,conseguiréis
